Time (s),IPS,Memory Throughput (MB/s),LLC Misses
9.751319885253906e-05,583375166022,118881.02734300001,290449082
3.665086507797241,513079153388,139931.66930339998,230033657
5.521261930465698,507461830066,115107.0411218,216766934
8.834017276763916,401505376131,134948.19848120003,186306334
10.635141134262085,477528755556,114927.618598,161164806
13.248135089874268,532913468102,127472.85068960002,291173797
16.444631099700928,357421808070,114086.709867,245914763
18.82588481903076,446373877760,119460.2524492,238859551
21.485405206680298,413987695012,117708.88267580002,216772496
24.784361839294434,498872280340,122558.95315040002,241302558
28.896775245666504,410673924551,108505.37018619999,201230005
31.727030992507935,629249258094,111775.49274580002,226018123
36.01584315299988,525217345697,93198.83898,242458569
38.004842042922974,602808008545,134004.0885066,235019218
42.66865825653076,549005220705,113261.6032366,233873133
45.441425800323486,488287739367,137289.61470640003,150304601
49.715092182159424,458006568430,120872.80505300002,238899619
51.94986128807068,467729914721,126839.35108260001,273592688
54.88851547241211,581382491578,102539.02338679999,150671322
58.69389271736145,464928436798,138332.2702294,134045217
61.180264949798584,632365050626,103917.11965179999,199147193
65.67688369750977,572286703685,108616.530152,244642622
67.57662153244019,636009128414,129698.30445260002,234110007
70.05277156829834,501629600281,97246.64089660002,239867303
72.79310178756714,15518207999,132479.52658720003,122948429
