Time (s),IPS,LLC Misses
5.5789947509765625e-05,1887648068.0,748822.0
0.6806502342224121,104508208830.0,41801724.0
2.2785613536834717,195457769836.0,80379468.0
3.774503707885742,194768799760.0,80946912.0
5.370458602905273,201325343674.0,79479258.0
6.9584879875183105,199739839534.0,73830130.0
8.502457618713379,196302288428.0,74822014.0
10.046575546264648,192913602490.0,73139844.0
11.582526445388794,188098050514.0,69479924.0
12.910557270050049,163738592898.0,51653448.0
14.362489461898804,187159864038.0,68417364.0
15.898499250411987,200296499390.0,72862808.0
17.49448251724243,193664200592.0,74113852.0
19.006492137908936,183539796922.0,67702774.0
20.46253275871277,191014294950.0,72214686.0
21.990574836730957,184309447082.0,64794124.0
23.41451358795166,185983189756.0,63543450.0
24.998507738113403,192371246676.0,71145070.0
26.34273910522461,48293697898.0,17428600.0
