Time (s),IPS,LLC Misses
0.00011563301086425781,335624551986.0,521044238.0
3.2539303302764893,315589629552.0,600556004.0
4.16974949836731,203016527530.0,379497696.0
5.119101285934448,237701688848.0,462745826.0
6.136955261230469,245281923950.0,471393316.0
7.202477931976318,232081613346.0,436707210.0
8.124288320541382,216314034742.0,416981826.0
9.093698501586914,264569472832.0,517566744.0
10.670039415359497,281088093890.0,529344498.0
11.354013442993164,244173303608.0,478894882.0
12.946067571640015,291260508900.0,535015192.0
13.62408709526062,13380407072.0,4482662.0
14.133891105651855,7632493806.0,1479958.0
