Time (s),IPS,LLC Misses
8.96453857421875e-05,301044653854.0,348616010.0
2.4548892974853516,269006853830.0,448143154.0
3.3708560466766357,169772997412.0,311586472.0
3.8904449939727783,209733291510.0,411744048.0
5.1104912757873535,273789971650.0,513632328.0
6.2627880573272705,292865540254.0,563944920.0
7.827101945877075,344427277852.0,662897224.0
9.250465393066406,338633971600.0,659869482.0
10.607361555099487,270391456250.0,527448110.0
11.584122896194458,241286462712.0,481335662.0
12.794824361801147,149293888874.0,297353190.0
13.39424467086792,174599023090.0,313395356.0
14.160898208618164,17595788290.0,11232826.0
14.671614646911621,8510069382.0,1822106.0
