Time (s),IPS,LLC Misses
0.0001919269561767578,56829386638.0,17898650.0
3.091198444366455,267744994780.0,28876610.0
4.248793601989746,289629058260.0,352007108.0
5.851836442947388,335944543994.0,378745188.0
7.087017059326172,607985554906.0,980201874.0
8.143544673919678,611323957120.0,1318111560.0
9.14400053024292,425769038372.0,290596302.0
10.815918445587158,337309571076.0,425374106.0
12.419810056686401,256012480812.0,223191100.0
12.975560426712036,549814930296.0,966639376.0
13.955093145370483,596703225108.0,1293854994.0
14.943775177001953,110464271220.0,200720660.0
15.672351837158203,544908789930.0,1098131110.0
16.63929271697998,596095035826.0,1052964410.0
17.663503885269165,268742064518.0,367792922.0
19.275537729263306,320870653578.0,412937606.0
20.815330505371094,238977493688.0,225373112.0
21.783170223236084,544452336392.0,1097397324.0
22.800086975097656,611297623040.0,1081989678.0
23.799756288528442,270170309632.0,372089896.0
25.527921438217163,318409671024.0,420772990.0
27.0130295753479,185795245554.0,139467602.0
27.523530960083008,5956258848.0,3434412.0
28.02981472015381,6919654388.0,2421330.0
28.542292594909668,8127507086.0,1726724.0
29.05931806564331,7870791514.0,1719566.0
29.567566871643066,7432575974.0,1731932.0
30.07586693763733,7437780092.0,2095086.0
30.59138250350952,7079168586.0,2092534.0
31.100199460983276,80511028498.0,1871402.0
