Time (s),IPS,LLC Misses
6.198883056640625e-05,355740879590.0,3073822.0
1.30350661277771,512512422130.0,4898668.0
2.1237540245056152,169707273132.0,371458536.0
3.5350162982940674,212727592404.0,545859512.0
4.515850782394409,181895701964.0,452850312.0
5.319739103317261,193718193222.0,597135872.0
6.719716548919678,198643906790.0,455763074.0
7.527650833129883,124591622976.0,669334296.0
8.808318614959717,51268163466.0,1258278314.0
10.015918016433716,38083906750.0,138260016.0
10.524949073791504,9651499736.0,1185412.0
11.037139177322388,18264587944.0,1511718.0
