Time (s),Memory Throughput (MB/s)
6.198883056640625e-05,14604.213293800001
1.187713623046875,17235.058570600002
2.1910462379455566,139705.67934180005
3.1943535804748535,180385.12024000002
4.197600364685059,174374.0410178
5.200980186462402,179851.8543952
6.2042810916900635,175670.23269900004
7.207605600357056,167219.44336240002
8.211888074874878,197788.91630420001
9.214147567749023,147232.72212740002
10.215014934539795,1530.2137656000002
11.2163827419281,80186.957331
