Time (s),IPS,Memory Throughput (MB/s),LLC Misses
0.0005204677581787109,260466754118,129560.72027080001,265086478
3.9596972465515137,198478754298,195426.43410680004,259474387
8.364328861236572,180476563486,197824.5889958,239787797
12.552340745925903,227726261734,167376.99250740002,308515003
16.396345138549805,199377891330,205052.88085359999,247753400
19.564780950546265,239500850841,201034.8795806,282879654
24.278085708618164,172112319613,189840.1556142,248799696
28.074562788009644,155780963218,202399.9944252,212302429
30.999912977218628,178149650793,197445.5273258,309425932
33.19991970062256,229171426167,185163.2056976,332398586
36.82890748977661,175808961544,196787.3126882,214943678
40.6544873714447,206253241293,197067.06334640004,224309602
44.759058713912964,268118126071,195411.75398680003,314849693
49.121586561203,221748714529,198445.5685576,292941370
52.99828577041626,201797153611,198817.8354292,300333189
57.84229278564453,267572958911,182217.4299036,84521389
