Time (s),IPS,Memory Throughput (MB/s),LLC Misses
0.001371622085571289,6429821282,3114.2826,7459009
1.1981427669525146,8064492852,1666.8227680000002,4112088
2.382523775100708,5466252338,1416.2016622,498586
3.5643646717071533,7163475753,3103.5136834000004,656112
4.721526384353638,7510042118,403.96544500000005,164948
5.876657485961914,7455849313,130.2021786,126050
7.02912712097168,7519444670,103.127843,142058
8.18917965888977,7405145129,59.3601138,98167
9.326829433441162,7426425195,105.487148,123154
10.464428424835205,7438066451,114.5678508,125028
11.602333068847656,7439622399,112.5021482,110850
12.741405963897705,7527115898,100.0450178,165215
13.883376359939575,7392652632,96.5637322,110524
15.018882989883423,7519684807,114.4315354,144464
16.150890827178955,7464000225,83.5508544,89209
17.288322687149048,8387263879,66.7001738,110384
18.458969354629517,9378234920,62.09690760000001,112553
19.63176679611206,9410816488,80.83503220000001,132154
20.79039192199707,9319897466,90.01010720000001,112310
21.950304985046387,6675705894,98.8915798,520047
