Time (s),IPS,Memory Throughput (MB/s),LLC Misses
0.0001990795135498047,326195409892,3378.7973908000004,27666286
1.9148550033569336,795333736449,37518.9578634,82936460
4.871133327484131,155670784110,64058.4652344,1222691191
7.428253650665283,140412322372,82248.9165004,1049716564
8.83803939819336,127125424817,83827.4068892,1346657419
10.982505083084106,116047651714,139257.4952782,855627407
13.511328935623169,183649519295,146955.16300139998,1076089645
16.582520008087158,136438595416,123996.9757624,1451037731
18.525681972503662,85463595848,122101.7827562,355784678
19.81480383872986,196530561278,134538.6126474,2158866
